"ID","Year","LocationAbbr","LocationDesc","Class","Topic","Indicator","Response","DataSource","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Stratification","StratificationType","IndicatorId","LocationOrder","ParentStateDisplayOrder","FootnoteType","FootNoteSymbol","FootnoteText","URL","DatasourceAbbr","Agency"
"1930285","2012","AR","Arkansas","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","25.0","","","23.3","26.8","1017","Overall","Overall","_RFSMOK3","6","6","","","","","",""
"1930286","2012","AR","Arkansas","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","75.0","","","73.2","76.7","4062","Overall","Overall","_RFSMOK3","6","6","","","","","",""
"1932815","2012","CA","California","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","12.6","","","11.8","13.4","1632","Overall","Overall","_RFSMOK3","7","7","","","","","",""
"1932816","2012","CA","California","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","87.4","","","86.7","88.2","12911","Overall","Overall","_RFSMOK3","7","7","","","","","",""
"1935335","2012","CO","Colorado","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","17.7","","","16.8","18.7","1737","Overall","Overall","_RFSMOK3","8","8","","","","","",""
"1935336","2012","CO","Colorado","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","82.3","","","81.3","83.2","9920","Overall","Overall","_RFSMOK3","8","8","","","","","",""
"1938321","2012","CT","Connecticut","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","16.0","","","14.8","17.2","1183","Overall","Overall","_RFSMOK3","9","9","","","","","",""
"1938322","2012","CT","Connecticut","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","84.0","","","82.8","85.2","7426","Overall","Overall","_RFSMOK3","9","9","","","","","",""
"1941292","2012","DE","Delaware","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","19.7","","","18.2","21.3","855","Overall","Overall","_RFSMOK3","10","10","","","","","",""
"1941293","2012","DE","Delaware","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","80.3","","","78.7","81.9","4291","Overall","Overall","_RFSMOK3","10","10","","","","","",""
"1944342","2012","DC","District of Columbia","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","19.6","","","17.4","21.9","508","Overall","Overall","_RFSMOK3","11","11","","","","","",""
"1944343","2012","DC","District of Columbia","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","80.4","","","78.1","82.7","3212","Overall","Overall","_RFSMOK3","11","11","","","","","",""
"1947025","2012","FL","Florida","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","17.7","","","16.3","19.1","1123","Overall","Overall","_RFSMOK3","12","12","","","","","",""
"1947026","2012","FL","Florida","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","82.3","","","80.9","83.8","6342","Overall","Overall","_RFSMOK3","12","12","","","","","",""
"1949652","2012","GA","Georgia","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","20.4","","","18.8","21.9","970","Overall","Overall","_RFSMOK3","13","13","","","","","",""
"1949653","2012","GA","Georgia","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","79.6","","","78.1","81.2","4924","Overall","Overall","_RFSMOK3","13","13","","","","","",""
"1951827","2012","HI","Hawaii","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","14.6","","","13.3","15.8","1057","Overall","Overall","_RFSMOK3","14","14","","","","","",""
"1951828","2012","HI","Hawaii","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","85.4","","","84.2","86.7","6438","Overall","Overall","_RFSMOK3","14","14","","","","","",""
"1955325","2012","ID","Idaho","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","16.4","","","14.6","18.3","793","Overall","Overall","_RFSMOK3","15","15","","","","","",""
"1955326","2012","ID","Idaho","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","83.6","","","81.8","85.4","5001","Overall","Overall","_RFSMOK3","15","15","","","","","",""
"1957540","2012","IL","Illinois","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","18.6","","","16.9","20.2","796","Overall","Overall","_RFSMOK3","16","16","","","","","",""
"1957541","2012","IL","Illinois","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","81.4","","","79.8","83.1","4734","Overall","Overall","_RFSMOK3","16","16","","","","","",""
"1960513","2012","IN","Indiana","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","24.0","","","22.8","25.2","1761","Overall","Overall","_RFSMOK3","17","17","","","","","",""
"1960514","2012","IN","Indiana","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","76.0","","","74.8","77.3","6750","Overall","Overall","_RFSMOK3","17","17","","","","","",""
"1963566","2012","IA","Iowa","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","18.1","","","16.9","19.3","1058","Overall","Overall","_RFSMOK3","18","18","","","","","",""
"1963567","2012","IA","Iowa","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","81.9","","","80.7","83.1","5957","Overall","Overall","_RFSMOK3","18","18","","","","","",""
"1966438","2012","KS","Kansas","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","19.4","","","18.4","20.4","1843","Overall","Overall","_RFSMOK3","19","19","","","","","",""
"1966439","2012","KS","Kansas","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","80.6","","","79.6","81.6","9866","Overall","Overall","_RFSMOK3","19","19","","","","","",""
"1969039","2012","KY","Kentucky","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","28.3","","","26.9","29.7","2551","Overall","Overall","_RFSMOK3","20","20","","","","","",""
"1969040","2012","KY","Kentucky","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","71.7","","","70.3","73.1","8316","Overall","Overall","_RFSMOK3","20","20","","","","","",""
"1971960","2012","LA","Louisiana","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","24.8","","","23.2","26.3","1706","Overall","Overall","_RFSMOK3","21","21","","","","","",""
"1971961","2012","LA","Louisiana","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","75.2","","","73.7","76.8","7291","Overall","Overall","_RFSMOK3","21","21","","","","","",""
"1975214","2012","ME","Maine","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","20.3","","","19.2","21.4","1602","Overall","Overall","_RFSMOK3","22","22","","","","","",""
"1975215","2012","ME","Maine","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","79.7","","","78.6","80.8","8208","Overall","Overall","_RFSMOK3","22","22","","","","","",""
"1977946","2012","MD","Maryland","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","16.2","","","15.0","17.4","1704","Overall","Overall","_RFSMOK3","23","23","","","","","",""
"1977947","2012","MD","Maryland","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","83.8","","","82.7","85.0","10752","Overall","Overall","_RFSMOK3","23","23","","","","","",""
"1979693","2012","MA","Massachusetts","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","16.4","","","15.5","17.2","3203","Overall","Overall","_RFSMOK3","24","24","","","","","",""
"1979694","2012","MA","Massachusetts","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","83.6","","","82.8","84.5","17479","Overall","Overall","_RFSMOK3","24","24","","","","","",""
"1983040","2012","MI","Michigan","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","23.3","","","22.1","24.6","1835","Overall","Overall","_RFSMOK3","25","25","","","","","",""
"1983041","2012","MI","Michigan","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","76.7","","","75.5","77.9","8526","Overall","Overall","_RFSMOK3","25","25","","","","","",""
"1986216","2012","MN","Minnesota","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","18.8","","","17.8","19.8","1923","Overall","Overall","_RFSMOK3","26","26","","","","","",""
"1986217","2012","MN","Minnesota","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","81.2","","","80.2","82.2","9966","Overall","Overall","_RFSMOK3","26","26","","","","","",""
"1988836","2012","MS","Mississippi","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","24.0","","","22.5","25.4","1422","Overall","Overall","_RFSMOK3","27","27","","","","","",""
"1988837","2012","MS","Mississippi","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","76.0","","","74.6","77.5","6278","Overall","Overall","_RFSMOK3","27","27","","","","","",""
"1991548","2012","MO","Missouri","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","23.9","","","22.3","25.5","1352","Overall","Overall","_RFSMOK3","28","28","","","","","",""
"1991549","2012","MO","Missouri","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","76.1","","","74.5","77.7","5309","Overall","Overall","_RFSMOK3","28","28","","","","","",""
"1994426","2012","MT","Montana","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","19.7","","","18.5","20.9","1520","Overall","Overall","_RFSMOK3","29","29","","","","","",""
"1994427","2012","MT","Montana","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","80.3","","","79.2","81.5","7044","Overall","Overall","_RFSMOK3","29","29","","","","","",""
"1997298","2012","NE","Nebraska","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","19.7","","","18.9","20.6","3031","Overall","Overall","_RFSMOK3","30","30","","","","","",""
"1997299","2012","NE","Nebraska","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","80.3","","","79.4","81.2","15954","Overall","Overall","_RFSMOK3","30","30","","","","","",""
"2000272","2012","NV","Nevada","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","18.1","","","16.5","19.7","851","Overall","Overall","_RFSMOK3","31","31","","","","","",""
"2000273","2012","NV","Nevada","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","81.9","","","80.3","83.5","3927","Overall","Overall","_RFSMOK3","31","31","","","","","",""
"2003280","2012","NH","New Hampshire","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","17.2","","","15.8","18.6","1007","Overall","Overall","_RFSMOK3","32","32","","","","","",""
"2003281","2012","NH","New Hampshire","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","82.8","","","81.4","84.2","6414","Overall","Overall","_RFSMOK3","32","32","","","","","",""
"2005507","2012","NJ","New Jersey","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","17.3","","","16.4","18.3","2285","Overall","Overall","_RFSMOK3","33","33","","","","","",""
"2005508","2012","NJ","New Jersey","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","82.7","","","81.7","83.6","12724","Overall","Overall","_RFSMOK3","33","33","","","","","",""
"2008647","2012","NM","New Mexico","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","19.3","","","18.2","20.4","1466","Overall","Overall","_RFSMOK3","34","34","","","","","",""
"2008648","2012","NM","New Mexico","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","80.7","","","79.6","81.8","7161","Overall","Overall","_RFSMOK3","34","34","","","","","",""
"2010629","2012","NY","New York","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","16.2","","","14.8","17.6","880","Overall","Overall","_RFSMOK3","35","35","","","","","",""
"2010630","2012","NY","New York","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","83.8","","","82.4","85.2","5045","Overall","Overall","_RFSMOK3","35","35","","","","","",""
"2013673","2012","NC","North Carolina","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","20.9","","","19.9","21.9","2154","Overall","Overall","_RFSMOK3","36","36","","","","","",""
"2013674","2012","NC","North Carolina","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","79.1","","","78.1","80.1","9573","Overall","Overall","_RFSMOK3","36","36","","","","","",""
"2017001","2012","ND","North Dakota","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","21.2","","","19.6","22.9","798","Overall","Overall","_RFSMOK3","37","37","","","","","",""
"2017002","2012","ND","North Dakota","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","78.8","","","77.1","80.4","4019","Overall","Overall","_RFSMOK3","37","37","","","","","",""
"2019997","2012","OH","Ohio","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","23.3","","","22.2","24.4","2474","Overall","Overall","_RFSMOK3","38","38","","","","","",""
"2019998","2012","OH","Ohio","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","76.7","","","75.6","77.8","10171","Overall","Overall","_RFSMOK3","38","38","","","","","",""
"2022694","2012","OK","Oklahoma","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","23.3","","","22.0","24.5","1636","Overall","Overall","_RFSMOK3","39","39","","","","","",""
"2022695","2012","OK","Oklahoma","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","76.7","","","75.5","78.0","6312","Overall","Overall","_RFSMOK3","39","39","","","","","",""
"2024587","2012","OR","Oregon","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","17.9","","","16.4","19.4","721","Overall","Overall","_RFSMOK3","40","40","","","","","",""
"2024588","2012","OR","Oregon","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","82.1","","","80.7","83.6","4449","Overall","Overall","_RFSMOK3","40","40","","","","","",""
"2027882","2012","PA","Pennsylvania","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","21.4","","","20.4","22.3","3610","Overall","Overall","_RFSMOK3","41","41","","","","","",""
"2027883","2012","PA","Pennsylvania","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","78.7","","","77.7","79.6","16011","Overall","Overall","_RFSMOK3","41","41","","","","","",""
"2030849","2012","RI","Rhode Island","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","17.4","","","16.0","18.9","828","Overall","Overall","_RFSMOK3","42","42","","","","","",""
"2030850","2012","RI","Rhode Island","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","82.6","","","81.1","84.0","4555","Overall","Overall","_RFSMOK3","42","42","","","","","",""
"2034220","2012","SC","South Carolina","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","22.5","","","21.4","23.7","2172","Overall","Overall","_RFSMOK3","43","43","","","","","",""
"2034221","2012","SC","South Carolina","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","77.5","","","76.3","78.6","10363","Overall","Overall","_RFSMOK3","43","43","","","","","",""
"2036742","2012","SD","South Dakota","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","22.0","","","20.5","23.4","1444","Overall","Overall","_RFSMOK3","44","44","","","","","",""
"2036743","2012","SD","South Dakota","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","78.0","","","76.6","79.5","6334","Overall","Overall","_RFSMOK3","44","44","","","","","",""
"2039202","2012","TN","Tennessee","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","24.9","","","23.3","26.4","1481","Overall","Overall","_RFSMOK3","45","45","","","","","",""
"2039203","2012","TN","Tennessee","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","75.1","","","73.6","76.7","5299","Overall","Overall","_RFSMOK3","45","45","","","","","",""
"2042275","2012","TX","Texas","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","18.2","","","17.0","19.3","1328","Overall","Overall","_RFSMOK3","46","46","","","","","",""
"2042276","2012","TX","Texas","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","81.9","","","80.7","83.0","7635","Overall","Overall","_RFSMOK3","46","46","","","","","",""
"2044947","2012","UT","Utah","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","10.6","","","9.8","11.3","1050","Overall","Overall","_RFSMOK3","47","47","","","","","",""
"2044948","2012","UT","Utah","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","89.4","","","88.7","90.2","11153","Overall","Overall","_RFSMOK3","47","47","","","","","",""
"2048333","2012","VT","Vermont","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","16.5","","","15.1","17.8","798","Overall","Overall","_RFSMOK3","48","48","","","","","",""
"2048334","2012","VT","Vermont","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","83.5","","","82.2","84.9","5159","Overall","Overall","_RFSMOK3","48","48","","","","","",""
"2050517","2012","VA","Virginia","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","19.0","","","17.7","20.3","1095","Overall","Overall","_RFSMOK3","49","49","","","","","",""
"2050518","2012","VA","Virginia","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","81.0","","","79.7","82.3","6059","Overall","Overall","_RFSMOK3","49","49","","","","","",""
"2053466","2012","WA","Washington","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","17.2","","","16.3","18.1","2040","Overall","Overall","_RFSMOK3","50","50","","","","","",""
"2053467","2012","WA","Washington","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","82.8","","","81.9","83.7","13133","Overall","Overall","_RFSMOK3","50","50","","","","","",""
"2055701","2012","WV","West Virginia","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","28.2","","","26.7","29.7","1287","Overall","Overall","_RFSMOK3","51","51","","","","","",""
"2055702","2012","WV","West Virginia","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","71.8","","","70.3","73.3","4103","Overall","Overall","_RFSMOK3","51","51","","","","","",""
"2058853","2012","WI","Wisconsin","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","20.4","","","18.7","22.1","912","Overall","Overall","_RFSMOK3","52","52","","","","","",""
"2058854","2012","WI","Wisconsin","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","79.6","","","77.9","81.3","4221","Overall","Overall","_RFSMOK3","52","52","","","","","",""
"2062383","2012","WY","Wyoming","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","21.8","","","19.9","23.7","947","Overall","Overall","_RFSMOK3","53","53","","","","","",""
"2062384","2012","WY","Wyoming","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","78.2","","","76.3","80.1","5212","Overall","Overall","_RFSMOK3","53","53","","","","","",""
"2064782","2012","GU","Guam","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","25.8","","","23.1","28.5","460","Overall","Overall","_RFSMOK3","56","56","","","","","",""
